"x","y","z"
12,2,0
21,0,0
10,5,0
10,NA,0
12,8,1
12,7,0
10,5,1
11,6,2
9,4,1
8,3,0
11,5,4
10,NA,2
15,3,3
12,3,1
11,3,1
14,3,0
9,5,0
12,0,1
13,NA,0
14,4,1
14,6,2
10,4,2
11,5,2
22,1,2
13,3,0
10,3,1
11,4,0
14,7,3
10,5,1
13,5,0
11,2,0
10,3,3
15,7,2
11,NA,1
13,3,0
11,NA,1
15,5,0
7,3,2
7,1,0
14,4,3
8,NA,2
12,6,0
16,8,2
14,NA,3
10,NA,1
13,3,1
6,5,1
12,3,1
2,3,2
13,1,0
11,NA,2
7,5,0
12,3,2
12,NA,1
23,3,0
11,5,0
14,2,0
17,4,0
11,NA,0
9,8,2
14,6,2
14,NA,1
8,NA,3
10,1,1
14,2,2
16,NA,2
8,2,3
17,9,0
8,6,0
10,3,0
11,3,1
10,5,2
5,6,1
6,6,1
12,7,2
16,3,1
4,NA,2
13,5,1
14,2,1
8,3,2
13,7,2
18,3,0
17,4,1
16,4,0
10,NA,0
13,6,0
13,1,0
21,0,0
12,7,0
10,7,2
12,NA,0
10,3,0
12,NA,2
9,3,0
6,6,1
13,3,0
10,3,0
9,3,0
17,2,3
7,NA,0
11,5,3
11,3,2
10,NA,1
12,5,0
12,4,3
12,5,0
14,2,0
13,7,3
10,4,1
19,0,0
10,4,2
15,8,2
15,6,1
14,4,0
16,3,1
12,2,2
11,6,0
13,4,2
14,NA,1
9,3,1
7,8,1
12,8,0
12,4,1
17,2,3
14,1,0
15,2,2
17,2,0
9,4,0
6,5,2
16,3,0
8,2,0
21,NA,2
8,4,0
19,3,1
3,7,2
15,NA,3
10,NA,0
12,9,0
16,1,0
15,2,1
15,6,1
11,5,1
9,3,0
14,2,0
9,6,0
18,7,1
19,4,0
11,NA,2
13,8,0
11,3,1
10,0,0
9,5,1
11,4,0
19,2,1
12,2,2
9,3,2
5,2,0
15,6,0
12,0,1
10,6,0
4,2,0
8,4,0
18,5,1
11,6,0
12,NA,0
18,NA,1
16,NA,1
10,2,3
13,1,2
12,NA,0
19,5,0
7,1,1
14,2,0
17,1,1
21,3,1
14,2,0
8,NA,1
17,3,0
10,1,1
10,NA,1
13,NA,2
8,5,0
13,5,0
14,1,1
10,NA,3
9,5,1
12,6,0
10,3,2
8,2,0
7,NA,0
13,NA,0
13,0,0
15,4,2
13,1,0
13,2,2
14,5,1
8,2,2
11,2,1
17,NA,0
12,5,3
10,3,0
11,4,0
12,7,2
9,6,3
14,4,0
6,NA,0
14,0,2
12,NA,1
6,3,1
11,NA,1
14,9,1
9,NA,1
18,5,1
15,2,0
10,2,0
16,3,0
10,NA,2
10,7,2
14,5,4
10,4,1
10,2,1
15,4,0
13,4,1
13,NA,2
10,4,0
11,NA,1
10,NA,1
8,3,0
10,3,0
7,NA,1
7,NA,1
6,7,0
11,NA,0
10,2,1
11,7,0
6,5,5
11,10,2
17,6,2
12,4,1
11,3,0
12,4,5
6,6,1
12,6,1
16,4,0
13,1,0
17,NA,1
6,NA,0
11,NA,0
8,6,1
13,5,1
15,3,1
9,2,0
14,1,3
12,5,0
7,NA,1
9,NA,1
16,3,0
13,NA,1
8,3,2
13,5,1
11,6,1
8,NA,0
12,2,0
9,3,1
11,2,0
14,5,2
16,NA,1
10,2,2
5,4,2
5,4,2
14,6,1
8,NA,1
13,NA,1
9,5,2
14,NA,1
14,3,2
16,0,1
12,0,1
9,1,1
7,2,2
17,3,1
11,3,0
7,NA,1
10,3,2
16,3,0
16,2,2
12,4,2
14,6,1
12,2,0
12,5,0
18,NA,0
6,NA,1
9,6,0
